Bureau of Meteorology station number,Location,Latitude,Longitude,Product code,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date,Rainfall category
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,18,0.0,0.0,Y,2012-03-18,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,19,0.0,0.0,Y,2012-03-19,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,20,0.0,0.0,Y,2012-03-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,21,0.0,0.0,Y,2012-03-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,22,5.0,1.0,Y,2012-03-22,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,23,2.2,1.0,Y,2012-03-23,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,24,4.2,1.0,Y,2012-03-24,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,25,0.6,1.0,Y,2012-03-25,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,26,0.0,0.0,Y,2012-03-26,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,27,0.0,0.0,Y,2012-03-27,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,28,0.0,1.0,Y,2012-03-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,29,0.0,1.0,Y,2012-03-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,30,0.0,1.0,Y,2012-03-30,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,31,0.0,0.0,Y,2012-03-31,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,1,0.0,0.0,Y,2012-04-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,2,0.0,0.0,Y,2012-04-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,3,0.6,1.0,Y,2012-04-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,4,0.0,0.0,Y,2012-04-04,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,5,0.0,0.0,Y,2012-04-05,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,6,0.0,0.0,Y,2012-04-06,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,7,8.0,1.0,Y,2012-04-07,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,8,0.0,0.0,Y,2012-04-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,9,2.6,1.0,Y,2012-04-09,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,10,10.8,1.0,Y,2012-04-10,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,11,1.6,1.0,Y,2012-04-11,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,12,0.0,0.0,Y,2012-04-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,13,0.0,0.0,Y,2012-04-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,14,0.0,0.0,Y,2012-04-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,15,0.0,0.0,Y,2012-04-15,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,16,0.0,0.0,Y,2012-04-16,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,17,0.0,0.0,Y,2012-04-17,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,18,0.0,0.0,Y,2012-04-18,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,19,0.0,0.0,Y,2012-04-19,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,20,1.8,1.0,Y,2012-04-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,21,0.0,0.0,Y,2012-04-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,22,10.0,1.0,Y,2012-04-22,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,23,3.6,1.0,Y,2012-04-23,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,24,12.0,1.0,Y,2012-04-24,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,25,36.8,1.0,Y,2012-04-25,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,26,11.2,1.0,Y,2012-04-26,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,27,2.8,1.0,Y,2012-04-27,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,28,0.0,0.0,Y,2012-04-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,29,0.0,0.0,Y,2012-04-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,4,30,0.0,0.0,Y,2012-04-30,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,1,0.0,0.0,Y,2012-05-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,2,11.0,1.0,Y,2012-05-02,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,3,14.8,1.0,Y,2012-05-03,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,4,15.0,1.0,Y,2012-05-04,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,5,2.6,1.0,Y,2012-05-05,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,6,1.0,1.0,Y,2012-05-06,0
